Parameter Set,n,p,ak,bk,bs,k0,k1,median_duration,median_rise_time
Excitable Config 1,3,5,0.01436912173447897,0.3987409964028884,0.7303497656496499,0.46561885190710234,0.40170760249950566,57.65115302306043,19.510390207804164
Excitable Config 2,2,3,0.008601311211311071,0.31734542331791804,0.807531761763894,0.6045676560760918,0.5923522594867778,29.95059901198026,15.520310406208125
Excitable Config 3,4,5,0.005974278716127793,0.18965849045076721,0.809887139976371,0.3234708875101868,0.3979282463101143,26.940538810776218,14.450289005780121
Excitable Config 4,3,5,0.023458741500020277,0.37403948247839425,0.740697723676209,0.6643273730784616,0.6823005383856435,45.67091341826837,21.030420608412186
Excitable Config 5,4,4,0.005041167263059941,0.21267607086992008,0.8249580963462939,0.500569059932447,0.7140959289777984,62.53125062501246,34.920698413968296
Excitable Config 6,2,4,0.0043283640940157166,0.17788191741270648,0.8787926455519609,0.5970420499288054,0.6935231553070291,31.880637612752253,21.220424408488157
Excitable Config 7,4,3,0.007526409154613634,0.12031790011144317,0.9119009112473941,0.3434646219815871,0.5650691077300665,28.590571811436234,16.460329206584106
Excitable Config 8,4,5,0.025666408441495276,0.21726891474957982,0.7464430219384682,0.4734357548148139,0.6194384406952707,23.11046220924419,11.820236404728092
Excitable Config 9,3,4,0.007879754767635274,0.42151499576584006,0.8611644394637384,0.6893807358296098,0.622263711973271,66.95133902678053,25.19050381007621
Excitable Config 10,5,5,0.01719053624487631,0.3792407236516345,0.8420525119192219,0.645258464900214,0.6992665635095512,72.56145122902458,26.330526610532218
