Parameter Set,Median Duration,Duration CV,Median Rise Time,Rise Time CV,Initiation Probability,Total Events
Standard Parameters,11.47522950459009,0.8537763483325137,7.160143202864063,0.9628695953749637,2.24,112
Excitable Config 1,57.65115302306043,0.9202715205361235,19.510390207804164,1.1099358808785014,4.06,203
Excitable Config 2,29.95059901198026,0.7704835439048705,15.520310406208125,0.7923375983550331,4.58,229
Excitable Config 3,26.940538810776218,0.6588652555053726,14.450289005780121,0.6472867159348322,1.62,81
Excitable Config 4,45.67091341826837,0.7775918779543639,21.030420608412186,0.817641196266699,4.22,211
Excitable Config 5,62.53125062501246,0.523590039542772,34.920698413968296,0.49049615375316,0.5,25
Excitable Config 6,31.880637612752253,0.6308298359330011,21.220424408488157,0.6185033038084912,2.78,139
Excitable Config 7,28.590571811436234,0.6230511296792134,16.460329206584106,0.6066228717187996,2.58,129
Excitable Config 8,23.11046220924419,0.6717021083834894,11.820236404728092,0.738786590580517,5.38,269
Excitable Config 9,66.95133902678053,0.6836000307575983,25.19050381007621,0.7914494264009445,2.12,106
Excitable Config 10,72.56145122902458,0.7028309319569409,26.330526610532218,0.6809614358956341,1.82,91
High ComK Basal (2x),12.675253505070089,0.7720533573544126,8.150163003260047,0.7533055704160162,2.56,128
High ComK Feedback (1.5x),10.400208004160078,0.8392697170575658,6.075121502430033,0.8726168182468493,4.52,226
High ComS Expression (1.5x),14.810296205924118,0.7093184425868219,9.130182603652074,0.7709338229039078,4.74,237
Low ComS Expression (0.75x),11.100222004440084,0.7892670328672783,7.120142402848046,0.8030976166548441,0.98,49
