Parameter Set,Count,Mean Duration,Median Duration,CV Duration,Mean Rise,Median Rise,CV Rise,Mean Ratio,Median Ratio
Standard Parameters,159,23.151029058317015,18.390367807356142,0.8180764259625116,15.045646824886186,11.750235004700073,0.8272858751422172,0.6461052170360974,0.6550632911392412
High ComK Basal (2x),202,21.652363740344118,13.800276005520097,1.0341030800654927,13.53027060541211,9.145182903658053,1.0023617976390577,0.6490544641507516,0.6606072915608817
High ComK Feedback (1.5x),251,22.325068015304534,17.23034460689214,0.867792743771597,14.3608848272583,11.400228004560091,0.8975059096446718,0.6519238894972738,0.6663207057602496
High ComS Expression (1.5x),249,26.8163596203651,20.58041160823217,0.8666650224814937,17.2821930334189,13.12026240524807,0.8664460552159737,0.6572613645482726,0.672535211267605
Low ComS Expression (0.75x),143,22.971997901496493,17.230344606892118,0.9534742583621142,14.31692969523726,10.000200004000078,0.9118800413692019,0.6398835398892104,0.6581272084805644
